序号,形近字,字数
1,一乙二,3
2,上下卡忐,4
3,仁仕佞仨,4
4,弍贰腻,3
5,刑型荆,3
6,形研刑邢妍硎,6
7,开并井升並,5
8,饼拼姘骈洴帡,6
9,瓶瓷瓮佤,4
10,产严屏,3
11,铲萨浐,3
12,屏幈摒,3
13,哑垭娅挜氩,5
14,碰谱戬,3
15,晋普恶,3
16,谱镨氆,3
17,宝室窒,3
18,班斑癍,3
19,讲耕阱,3
20,进迸巡,3
21,三兰五,3
22,丰半羊,3
23,栏拦烂,3
24,寒赛寨塞褰謇搴蹇骞,9
25,川州卅,3
26,训顺驯,3
27,洲酬渊,3
28,非韭悲,3
29,匪痱扉,3
30,齑瀣薤,3
31,罪菲霏,3
32,悲辈翡蜚裴斐,6
33,棒捧俸琫淎,5
34,排徘啡诽绯悱俳鲱,8
35,鼎鼐鼒,3
36,吓虾忑汴,4
37,屿玙欤写泻与,6
38,扎礼轧乳乱乩虬札乚,9
39,他她地毑,4
40,池驰弛,3
41,施拖迤椸,4
42,也世巴乜,4
43,亿忆钇,3
44,乙乞气,3
45,汽忾饩,3
46,飞艺虱,3
47,吃屹迄疙呓圪纥仡虼讫,10
48,五丑互瓦,4
49,讯汛迅茕卂,5
50,己已巳,3
51,忌岂导异,4
52,凯皑铠剀,4
53,记纪妃起圮妃杞玘改跽,10
54,篝冓媾遘觏,5
55,巳祀汜,3
56,巷港撰,3
57,熙姬颐巸,4
58,厂广庆,3
59,庆庄应库庞康庞唐,8
60,压厌辰仄,4
61,原愿厚雁厚,5
62,源塬羱嫄螈,5
63,振赈娠,3
64,褥缛薅溽耨蓐,6
65,唇辱晨震宸蜃,6
66,厅疔疗,3
67,订打灯叮钉盯酊仃耵玎町汀咑,13
68,顶项顷颀颓预滪蓣,8
69,河呵坷何舸阿柯诃珂牁,10
70,疴荷菏,3
71,夺奇苛哥,4
72,椅倚骑畸崎琦旖猗漪犄掎剞绮攲锜寄,16
73,啊婀锕屙,4
74,拧柠泞咛狞狞聍苧,8
75,衍街衔衡衙绗衎愆蘅,9
76,嚄镬蠖劐蒦,5
77,行竹荇,3
78,朽巧污窍,4
79,号亏专粤咢甹雩,7
80,枵鸮樗,3
81,骋聘娉俜,4
82,愕腭鳄鄂锷鹗谔萼,8
83,挎垮跨胯刳侉夸,7
84,才寸木,3
85,楠喃献蝻腩罱南献埠,9
86,计什汁针叶,5
87,线绒贼,3
88,纤歼仟阡忏钎扦瓩迁跹,10
89,乖乘乘剩嵊,5
90,睡唾锤捶棰陲垂,7
91,闭团困,3
92,材财豺,3
93,十斗半,3
94,科抖料斜蚪枓斛槲斛槲蝌,11
95,卓桌罩,3
96,覃谭潭蟫蕈,5
97,掉绰悼焯棹淖倬踔逴,9
98,框眶诓哐洭劻筐汇,8
99,区匹巨匪叵匠医匝匡匿匣匜苉笸匚,15
100,驱枢岖躯伛妪,6
101,抠呕欧殴鸥怄讴瓯沤眍,10
102,柜拒距矩炬讵,6
103,渠染蕖,3
104,巨臣宦苣宧卧,6
105,东乐车柬,4
106,呀讶邪蚜鸦雅蚜迓伢岈玡釾砑,13
107,烁栎砾铄跞轹,6
108,穿芽牙,3
109,卜下卡卞,4
110,占点苫卤,4
111,侦祯桢帧,4
112,餐粲璨澯,4
113,仆扑外朴补讣舛,7
114,处咎绺晷,4
115,沾钻帖贴站粘玷怗拈鲇黏乩毡飐,14
116,戏战戗戕戮戳,6
117,店惦掂踮,4
118,内丙肉,3
119,纳呐钠讷枘蚋汭衲肭,9
120,柄陋炳邴,4
121,疾病瘁痞痌瘪疥疫疖瘠瘀痞痹,13
122,叩即却印卯卭卸卾卲卻,10
123,辆俩满,3
124,满瞒蹒螨颟懑,6
125,莴窝赛呙,4
126,锅祸蜗涡脶埚娲剐,9
127,同网冈周冏冋罔,7
128,刚钢纲,4
129,简筒茼,3
130,炯迥泂埛,4
131,洞桐铜峒侗胴恫垌酮,9
132,调稠绸碉啁雕倜凋惆赒蜩鲷周,13
133,观视现规窥砚舰,7
134,觊觎觑,3
135,觅览觉宽笕苋,6
136,揽榄缆搅,4
137,倘淌敞躺趟氅耥徜惝绱,10
138,膛瞠螳樘嘡镗堂,7
139,拿掌撑,3
140,向尚商啇,4
141,摘墒熵,3
142,赏党堂,3
143,傥谠镋,3
144,丹舟盘,3
145,柿带滞,3
146,制到刷刮掣,5
147,刷涮唰,3
148,匝咂砸箍,4
149,蔑篾蠛,3
150,巾币市吊布,5
151,怖稀欷晞烯唏豨,7
152,敝撇蔽,3
153,弊憋蹩鳖瞥,5
154,帅师狮蛳筛,5
155,肺沛帅霈,4
156,帘帝蒂啻,4
157,啼谛蹄缔,4
158,删珊栅姗跚册,6
159,册丽俪,3
160,俪鹂骊鲡酾逦,6
161,扒叭趴,3
162,深探琛,3
163,份吩粉扮盼纷颁汾玢酚鼢掰,12
164,芬氛盆,3
165,风凤凰夙,4
166,机叽饥肌讥玑矶,7
167,冗沉壳,3
168,亢秃亮,3
169,抗坑炕吭杭肮伉沆航,9
170,沿船铅,3
171,化比此叱牝,5
172,能熊螚,3
173,北兆背,3
174,七匕弋戈,4
175,蛇驼舵鸵跎砣沱佗陀柁坨铊酡鼧,14
176,它仑仓宅,4
177,分会合金兮,5
178,岔盆盒,3
179,论轮沦抡伦纶,6
180,囫囵因国圈,5
181,化讹靴,3
182,哗桦铧烨哔榫,6
183,批秕枇毗蚍仳妣陛砒纰,10
184,华毕货花隼,5
185,屁尼尾尻庇,5
186,鼠鬣躐邋镴,5
187,蓖篦簏麀媲貔,6
188,舅鼠男巤,4
189,些柴紫胔茈赀訾觜髭,9
190,雌眦泚跐龇疵,6
191,泥呢昵妮怩旎,6
192,虎虚虑虏虐疟虔,7
193,嘘墟谑歔,4
194,掳罅遽噱,4
195,唬彪琥虓猇搋褫虒虎,9
196,旨昏昔,3
197,指脂诣酯稽,5
198,又叉支,3
199,惘辋魍,3
200,仅汉叹双权奴驭,7
201,鸡鸭鹅鸪鹒,5
202,权对树,3
203,杈衩钗汊,4
204,爱受爰,3
205,授绶缓,3
206,叆暧嗳,3
207,努怒弩驽孥胬呶,7
208,友有反发,4
209,蚤搔骚瘙,4
210,枝技肢吱歧妓伎豉芰跂屐岐忮,13
211,翅翘翎翔,4
212,设没投股役般殷毁殿毅段殁骰羖榖毂瀫觳彀鷇癜,21
213,毅毁殷殿臀,5
214,般搬磐瘢槃,5
215,锻缎煅椴段,5
216,搜艘嫂飕嗖溲馊锼螋瞍瘦,11
217,曼蔓慢,3
218,慢馒幔谩漫鳗熳,7
219,假霞暇瑕遐嘏葭瘕叚,9
220,霜霖露,3
221,露鹭璐,3
222,皮反发,3
223,饭板版贩扳返坂皈舨,9
224,泼拨拔跋胈袯废,8
225,披彼玻被破坡跛波颇陂啵疲,12
226,菠婆簸,3
227,暖援缓媛湲谖瑗,7
228,难滩摊瘫傩,5
229,竖坚贤肾,4
230,紧絮系素索紊累紥,8
231,怪悭铿蛏,4
232,托吒仛讬奼饦乇,7
233,诧姹咤挓侘,5
234,切功劝动助,5
235,眠氓岷抿泯珉缗湣愍民,10
236,彻沏砌窃切,5
237,长氏氐,3
238,胀帐账张怅伥,6
239,套奁奎,3
240,张涨泓,3
241,张强弹,3
242,纸纸舐扺芪昏婚惛,8
243,低抵砥祗诋羝胝邸柢鸱骶底,12
244,纯吨盹顿钝沌饨炖莼鲀扽肫迍囤窀屯,16
245,从队坠,3
246,认让计,3
247,茶草花,3
248,囚因困,3
249,捆悃悃,3
250,会金企釜荟佥,6
251,绘桧脍刽烩鲙哙侩狯,9
252,以似拟姒苡,5
253,人入八六个,5
254,从丛众怂纵苁枞疭,8
255,卒萃率翠窣,5
256,碎粹醉悴淬啐谇猝捽膵,10
257,大太丈,3
258,火头尖奕,4
259,夭天犬,3
260,夫失矢,3
261,夫夹荚爽奭,5
262,楔锲揳禊,4
263,挈契絜瘈,4
264,澳懊燠噢墺奥,6
265,夺奋牵态畚,5
266,夭乔笑,3
267,妖沃袄跃妖饫,6
268,侨桥娇轿骄矫矫硚峤鞒,10
269,扶肤麸趺,4
